랭킹	지역	상호명	업종	주소	경도	위도
7099	제주	주비's(JUBI's)	카페/주점	제주 제주시 이호일동	126.4564918	33.4986066
7100	서울	잇빠이	카페/주점	용산구 이태원동	126.9925274	37.5385142
7101	충남	동경참치	일식	천안시 동남구 신방동	127.1271666	36.7777898
7102	충남	피치키친(Peach Kitchen)	양식	천안시 동남구 신부동	127.1627982	36.8244648
7103	서울	카카오다다(cacaodada)	카페/주점	마포구 망원동	126.8998549	37.5554916
7104	서울	와타미(Watami) 강남1호점	카페/주점	강남구 역삼동	127.0385535	37.5000807
7105	서울	비하인드(B-hind)	카페/주점	마포구 서교동	126.9187795	37.5538373
7106	경기	커피그리고사람들	카페/주점	성남시 분당구 백현동	127.1013084	37.3849594
7107	서울	술익는마을 신촌점	카페/주점	서대문구 창천동	126.9342153	37.5586991
7108	서울	에비뉴로즈(AVENUE ROSE)	양식	서초구 서초동	127.0168004	37.4883773
7109	서울	미마드레(MI MADRE)	양식	용산구 이태원동	126.9925274	37.5385142
7110	강원	보사노바(BOSSANOVA)	카페/주점	강원 강릉시 견소동	128.9424477	37.7727869
7111	경기	쿠시몽	카페/주점	성남시 분당구 정자동	127.115507	37.3644048
7112	경기	더플레이스 현대백화점 판교점	양식	성남시 분당구 백현동	127.1013084	37.3849594
7113	서울	로즈베이커리(ROSE BAKERY)	카페/주점	용산구 한남동	127.0051795	37.5375402
7114	대구	마이커피컬로맨스	카페/주점	대구 서울시 중구 공평동	128.6018115	35.8714168
7115	충북	아넬	카페/주점	충북 충주시 종민동	127.9896316	36.9894607
7116	서울	밥플러스	한식	종로구 누하동	126.9682824	37.579293
7117	서울	동원홈푸드 한국투자증권점	한식	영등포구 여의도동	126.9284428	37.5286693
7118	제주	토끼와거북이	한식	제주 제주시 용담삼동	126.4956874	33.5157766
7119	서울	카카오봄 이태원점	카페/주점	용산구 이태원동	126.9925274	37.5385142
7120	경기	플레이트607	양식	용인시 기흥구 보정동	127.1071275	37.309358
